"ID_study","system","latitud","longitud","n_avail","n_total","p_avail","p_total","c_total","light","temp","duration","vol","tax_resp","tax_resp_mn","tax_resp_sd","tax_resp_reps","tax_resp_cat","tax_resp_typ","n_add","p_add","n_rate","p_rate","tax_resp_unit","fert_unit"
"BBH066","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","2.1","0.1","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH066","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","2.9","0.014","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH066","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","3.5","0.096","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH066","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","3.3","0.34","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH067","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","1.4","0.067","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH067","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","1.7","0.07","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH067","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","2.2","0.07","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH067","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","2.1","0.18","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH068","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","1.2","0.027","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH068","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","1.9","0.021","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH068","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","2.1","0.035","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH068","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","1.6","0.29","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH069","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","1.6","0.024","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH069","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","2.8","0.069","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH069","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","4.3","0.26","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH069","freshwater","44","-74","35",NA,"0.063",NA,NA,NA,"22.5","2","10","phytoplankton","4.6","0.053","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH070","freshwater","44","-74","8.2",NA,"0.1",NA,NA,NA,"22.5","2","10","phytoplankton","0.93","0.11","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH070","freshwater","44","-74","8.2",NA,"0.1",NA,NA,NA,"22.5","2","10","phytoplankton","1.6","0.076","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH070","freshwater","44","-74","8.2",NA,"0.1",NA,NA,NA,"22.5","2","10","phytoplankton","1.7","0.18","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH070","freshwater","44","-74","8.2",NA,"0.1",NA,NA,NA,"22.5","2","10","phytoplankton","1.6","0.12","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH071","freshwater","44","-74","20",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.1","0.015","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH071","freshwater","44","-74","20",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","1.9","0.037","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH071","freshwater","44","-74","20",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","2.2","0.064","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH071","freshwater","44","-74","20",NA,"0.095",NA,NA,NA,"22.5","2","10","phytoplankton","2","0.096","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH072","freshwater","44","-74","41",NA,"0.032",NA,NA,NA,"22.5","2","10","phytoplankton","0.14","0.026","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH072","freshwater","44","-74","41",NA,"0.032",NA,NA,NA,"22.5","2","10","phytoplankton","0.27","0.012","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH072","freshwater","44","-74","41",NA,"0.032",NA,NA,NA,"22.5","2","10","phytoplankton","0.66","0.012","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH072","freshwater","44","-74","41",NA,"0.032",NA,NA,NA,"22.5","2","10","phytoplankton","0.68","0.012","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH073","freshwater","26.5","-80.8","0.892857143","89.28571429","0.193548387","2.903225806",NA,NA,"25.5","3","20","phytoplankton","38","2","3","biomass","chlorophyll","0","0","0","0",NA,NA
"BBH073","freshwater","26.5","-80.8","0.892857143","89.28571429","0.193548387","2.903225806",NA,NA,"25.5","3","20","phytoplankton","36","6","3","biomass","chlorophyll","0","0","0","0",NA,NA
"BBH073","freshwater","26.5","-80.8","0.892857143","89.28571429","0.193548387","2.903225806",NA,NA,"25.5","3","20","phytoplankton","72","10","3","biomass","chlorophyll","1","1","35.71428571","1.614465612",NA,NA
"BBH073","freshwater","26.5","-80.8","0.892857143","89.28571429","0.193548387","2.903225806",NA,NA,"25.5","3","20","phytoplankton","85","1","3","biomass","chlorophyll","1","1","35.71428571","1.614465612",NA,NA
"BBH074","freshwater","26.5","-80.8","2.142857143","98.21428571","0.064516129","1.774193548",NA,NA,"17","3","20","phytoplankton","40","6","3","biomass","chlorophyll","0","0","0","0",NA,NA
"BBH074","freshwater","26.5","-80.8","2.142857143","98.21428571","0.064516129","1.774193548",NA,NA,"17","3","20","phytoplankton","38","8","3","biomass","chlorophyll","0","0","0","0",NA,NA
"BBH074","freshwater","26.5","-80.8","2.142857143","98.21428571","0.064516129","1.774193548",NA,NA,"17","3","20","phytoplankton","60","2","3","biomass","chlorophyll","1","1","35.71428571","1.614465612",NA,NA
"BBH074","freshwater","26.5","-80.8","2.142857143","98.21428571","0.064516129","1.774193548",NA,NA,"17","3","20","phytoplankton","56","3","3","biomass","chlorophyll","1","1","35.71428571","1.614465612",NA,NA
"BBH075","freshwater","26.5","-80.8","1.428571429","142.8571429","0.241935484","2.419354839",NA,NA,"28","3","20","phytoplankton","50","20","3","biomass","chlorophyll","0","0","0","0",NA,NA
"BBH075","freshwater","26.5","-80.8","1.428571429","142.8571429","0.241935484","2.419354839",NA,NA,"28","3","20","phytoplankton","43","7","3","biomass","chlorophyll","0","0","0","0",NA,NA
"BBH075","freshwater","26.5","-80.8","1.428571429","142.8571429","0.241935484","2.419354839",NA,NA,"28","3","20","phytoplankton","100","13","3","biomass","chlorophyll","1","1","35.71428571","1.614465612",NA,NA
"BBH075","freshwater","26.5","-80.8","1.428571429","142.8571429","0.241935484","2.419354839",NA,NA,"28","3","20","phytoplankton","97","24","3","biomass","chlorophyll","1","1","35.71428571","1.614465612",NA,NA
"BBH076","freshwater","26.5","-80.8","0.714285714","125","0.064516129","1.290322581",NA,NA,"31.5","3","20","phytoplankton","75","12","3","biomass","chlorophyll","0","0","0","0",NA,NA
"BBH076","freshwater","26.5","-80.8","0.714285714","125","0.064516129","1.290322581",NA,NA,"31.5","3","20","phytoplankton","70","12","3","biomass","chlorophyll","0","0","0","0",NA,NA
"BBH076","freshwater","26.5","-80.8","0.714285714","125","0.064516129","1.290322581",NA,NA,"31.5","3","20","phytoplankton","120","27","3","biomass","chlorophyll","1","1","35.71428571","1.614465612",NA,NA
"BBH076","freshwater","26.5","-80.8","0.714285714","125","0.064516129","1.290322581",NA,NA,"31.5","3","20","phytoplankton","112","20","3","biomass","chlorophyll","1","1","35.71428571","1.614465612",NA,NA
