Index,Source number,Source name,Species name,Species code,Invert/Vert,Phylum,Class,Order,Family,Trophic guild,Dry mass (g),Log dry mass,Ecosystem Type,Energy Source,Habitat,Resident ecosystem,Temperature (C),N excretion rate (ug N/ind/h),P excretion rate (ug P/ind/h),Excreted N:P (molar),Log N excretion,Log P excretion,Incubation time (h),N form,P form,Body C,Body N,Body P,Body CN,Body CP,Body NP,Body data source,Data source,Data provider(s)
43,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01573,-1.803,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,1.7231,0.527,7.24,0.236,-0.278,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
44,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01671,-1.777,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",21.75,2.3321,0.6913,7.47,0.368,-0.16,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
45,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0171,-1.767,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",19,2.4255,0.3255,16.5,0.385,-0.487,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
46,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01796,-1.746,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,2.6144,2.6195,2.21,0.417,0.418,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
47,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.01867,-1.729,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",19,1.4666,1.116,2.91,0.166,0.048,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
48,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0208,-1.682,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",19,2.6426,1.3299,4.4,0.422,0.124,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
49,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.02169,-1.664,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,2.4263,3.379,1.59,0.385,0.529,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
50,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.02204,-1.657,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",12.75,1.4372,0.2697,11.8,0.158,-0.569,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
51,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.02347,-1.63,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",21.75,2.5049,1.5624,3.55,0.399,0.194,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
52,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.02382,-1.623,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",16,1.5335,0.8866,3.83,0.186,-0.052,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
53,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.02542,-1.595,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",19,2.735,0.4588,13.2,0.437,-0.338,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
54,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0256,-1.592,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",16,1.4466,1.3516,2.37,0.16,0.131,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
55,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.02649,-1.577,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",16,2.205,2.7125,1.8,0.343,0.433,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
56,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0272,-1.565,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",21.75,2.4714,2.8954,1.89,0.393,0.462,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
57,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0288,-1.541,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",12.75,1.863,0.4836,8.53,0.27,-0.316,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
58,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.02987,-1.525,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",12.75,2.1252,0.5704,8.25,0.327,-0.244,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
59,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.02987,-1.525,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",21.75,4.0487,3.0287,2.96,0.607,0.481,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
60,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.0304,-1.517,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",25,3.9799,4.278,2.06,0.6,0.631,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
61,2,Andersen 1989,Salpa fusiformis-Oozoid,SalpfuO,Invertebrate,Chordata,Thaliacea,Salpida,Salpidae,algdetr,0.03076,-1.512,Marine,Plankton,Pelagic,"Bay of Villefranche-Sur, Mediterranean Sea, France",19,.,3.72,.,.,0.571,3.5,NH4,SRP,5.07,1.8,0.1,3.29,125.92,20.97,Family mean other study,digitized from paper,n/a
